"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 04 04:14:13 GMT 2023","Mon Sep 04 04:14:16 GMT 2023","2559","","Login saucedemo","","","","@positive, user should successfully login with valid username and password",""
"failed","Mon Sep 04 04:14:16 GMT 2023","Mon Sep 04 04:14:17 GMT 2023","571","","Login saucedemo","","","","@negative, user should not login with username empty",""
"passed","Mon Sep 04 04:14:17 GMT 2023","Mon Sep 04 04:14:18 GMT 2023","457","","Login saucedemo","","","","@negative, user should not login with wrong username or password",""
"passed","Mon Sep 04 04:14:17 GMT 2023","Mon Sep 04 04:14:17 GMT 2023","438","","Login saucedemo","","","","@negative, user should not login with password empty",""
"passed","Mon Sep 04 04:14:18 GMT 2023","Mon Sep 04 04:14:18 GMT 2023","515","","Login saucedemo","","","","@negative, user should not login with locked out user",""
