"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 04 04:45:17 GMT 2023","Mon Sep 04 04:45:18 GMT 2023","368","","Login saucedemo","","","","@negative, user should not login with locked out user",""
"passed","Mon Sep 04 04:45:17 GMT 2023","Mon Sep 04 04:45:17 GMT 2023","334","","Login saucedemo","","","","@negative, user should not login with password empty",""
"passed","Mon Sep 04 04:45:16 GMT 2023","Mon Sep 04 04:45:17 GMT 2023","403","","Login saucedemo","","","","@negative, user should not login with username empty",""
"passed","Mon Sep 04 04:45:17 GMT 2023","Mon Sep 04 04:45:17 GMT 2023","359","","Login saucedemo","","","","@negative, user should not login with wrong username or password",""
"passed","Mon Sep 04 04:45:15 GMT 2023","Mon Sep 04 04:45:16 GMT 2023","1155","","Login saucedemo","","","","@positive, user should successfully login with valid username and password",""
