"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 30 01:47:31 GMT 2023","Sat Sep 30 01:47:32 GMT 2023","402","","Login saucedemo","","","","@negative, user should not login with wrong username or password",""
"passed","Sat Sep 30 01:47:30 GMT 2023","Sat Sep 30 01:47:31 GMT 2023","437","","Login saucedemo","","","","@negative, user should not login with username empty",""
"passed","Sat Sep 30 01:47:29 GMT 2023","Sat Sep 30 01:47:30 GMT 2023","1237","","Login saucedemo","","","","@positive, user should successfully login with valid username and password",""
"passed","Sat Sep 30 01:47:32 GMT 2023","Sat Sep 30 01:47:32 GMT 2023","377","","Login saucedemo","","","","@negative, user should not login with locked out user",""
"passed","Sat Sep 30 01:47:31 GMT 2023","Sat Sep 30 01:47:31 GMT 2023","370","","Login saucedemo","","","","@negative, user should not login with password empty",""
